Variable,Order,Dependency,Relation,Explanation,Comments,Value,Expression,Previous parameter name,,Scenario
left_exterior_drilling,102,Derived,Model,Whether drilling is present the exterior left edge of the stile,"102) Derived - Model
    Whether drilling is present the exterior left edge of the stile",0,"=IF(AND(door_hinging_right=0,door_swinging_out=1),1,0)",,,
right_interior_drilling,103,Derived,Model,Whether drilling is present the interior right edge of the stile,"103) Derived - Model
    Whether drilling is present the interior right edge of the stile",0,"=IF(AND(door_hinging_right=1,door_swinging_out=0),1,0)",,,
right_exterior_drilling,104,Derived,Model,Whether drilling is present the exterior right edge of the stile,"104) Derived - Model
    Whether drilling is present the exterior right edge of the stile",0,"=IF(AND(door_hinging_right=1,door_swinging_out=1),1,0)",,,
hole_placement,105,Derived,Model,An offset that shifts the hinge holes to the appropriate side of the component,"105) Derived - Model
    An offset that shifts the hinge holes to the appropriate side of the component",32.4695,"=IF(
     OR(left_exterior_drilling = 1, right_interior_drilling = 1),
     hinge_hole_x_dist,
     component_width - hinge_hole_x_dist)",,,
label_in_positioning_offset,106,Derived,Model,"An offset that repositions the ""in"" label relative to the door, to change which face is treated as the interior","106) Derived - Model
    An offset that repositions the ""in"" label relative to the door, to change which face is treated as the interior",1,"=IF(door_swinging_out = 0, 1, -1)",,,
label_out_positioning_offset,107,Derived,Model,"An offset that repositions the ""out"" label relative to the door, to change which face is treated as the exterior","107) Derived - Model
    An offset that repositions the ""out"" label relative to the door, to change which face is treated as the exterior",-1,"=IF(door_swinging_out = 0, -1, 1)",,,
,,,,,,,,,,
Rabbeting,,,,,,,,,,
left_interior_rabbeting,201,Derived,Model,Whether rabbeting is present the interior left edge of the stile,"201) Derived - Model
    Whether rabbeting is present the interior left edge of the stile",0,"=IF(
    AND(door_swinging_out=1,
        OR(door_hinging_right=0,
            AND(door_hinging_right=1,door_wall_keep_latching=0,door_perp_stile_keeper=0)
           )
        ),
    1,0)",,,
left_exterior_rabbeting,202,Derived,Model,Whether rabbeting is present the exterior left edge of the stile,"202) Derived - Model
    Whether rabbeting is present the exterior left edge of the stile",1,"=IF(
    AND(door_swinging_out=0,
        OR(door_hinging_right=0,
            AND(door_hinging_right=1,door_wall_keep_latching=0,door_perp_stile_keeper=0)
           )
        ),
    1,0)",,,
left_rabbeting_model,203,Derived,Model,Controls rabbeting in model's left side as seen from the FRONT ,"203) Derived - Model
    Controls rabbeting in model's left side as seen from the FRONT ",-0.5,"=IF(
     OR(right_exterior_rabbeting = 1, left_interior_rabbeting = 1),
     -rabbeting_depth,
     rabbeting_depth
   )",,,
right_interior_rabbeting,204,Derived,Model,Whether rabbeting is present the interior right edge of the stile,"204) Derived - Model
    Whether rabbeting is present the interior right edge of the stile",0,"=IF(
    AND(door_swinging_out=1,
        OR(door_hinging_right=1,
            AND(door_hinging_right=0,door_wall_keep_latching=0,door_perp_stile_keeper=0)
           )
        ),
    1,0)",,,
right_exterior_rabbeting,205,Derived,Model,Whether rabbeting is present the exterior right edge of the stile,"205) Derived - Model
    Whether rabbeting is present the exterior right edge of the stile",1,"=IF(
    AND(door_swinging_out=0,
        OR(door_hinging_right=1,
            AND(door_hinging_right=0,door_wall_keep_latching=0,door_perp_stile_keeper=0)
           )
        ),
    1,0)",,,
right_rabbeting_model,206,Derived,Model,Controls rabbeting in model's right side as seen from the FRONT ,"206) Derived - Model
    Controls rabbeting in model's right side as seen from the FRONT ",-0.5,"=IF(
     OR(left_exterior_rabbeting = 1, right_interior_rabbeting = 1),
     -rabbeting_depth,
     rabbeting_depth
   )",,,
,,,,,,,,,,
Notching,,,,,,,,,,
bottom_left_notching,301,Derived,Model,Whether the bottom left corner of the door is notched to accommodate the shoe on a stile,"301) Derived - Model
    Whether the bottom left corner of the door is notched to accommodate the shoe on a stile",1,"=IF(
    AND(
        bottom_notching_actual_y_dist > 0,
        OR(
            AND(door_hinging_right=0,door_wall_post_hinging=0),
            AND(door_hinging_right=1,AND(door_wall_keep_latching=0,door_wall_post_latching=0))
            )
         ),
    1,0)",,[(bottom_notching_y_dist + 1)-component_floor_clearance],
bottom_right_notching,302,Derived,Model,Whether the bottom right corner of the door is notched to accommodate the shoe on a stile,"302) Derived - Model
    Whether the bottom right corner of the door is notched to accommodate the shoe on a stile",1,"=IF(
    AND(
        bottom_notching_actual_y_dist > 0,
        OR(
            AND(door_hinging_right=1,door_wall_post_hinging=0),
            AND(door_hinging_right=0,AND(door_wall_keep_latching=0,door_wall_post_latching=0))
            )
         ),
    1,0)",,,
top_left_notching,303,Derived,Model,Whether the bottom left corner of the door is notched to accommodate the shoe on a stile,"303) Derived - Model
    Whether the bottom left corner of the door is notched to accommodate the shoe on a stile",0,"=IF(
    AND(
        floor_to_ceiling=1,
        ceiling_clearance < ( shoe_height + shoe_door_top_notch_gap ),
        OR(
            AND(door_hinging_right=0,door_wall_post_hinging=0),
            AND(door_hinging_right=1,AND(door_wall_keep_latching=0,door_wall_post_latching=0))
            )
         ),
    1,0)",,,
top_right_notching,304,Derived,Model,Whether the bottom right corner of the door is notched to accommodate the shoe on a stile,"304) Derived - Model
    Whether the bottom right corner of the door is notched to accommodate the shoe on a stile",0,"=IF(
    AND(
        floor_to_ceiling=1,
        ceiling_clearance < ( shoe_height + shoe_door_top_notch_gap ),
        OR(
            AND(door_hinging_right=1,door_wall_post_hinging=0),
            AND(door_hinging_right=0,AND(door_wall_keep_latching=0,door_wall_post_latching=0))
            )
         ),
    1,0)",,,
,,,,,,,,,,
Drill hole coordinates for a specific door_height,,,,,,,,,,
top_hinge_hole_1_y_value,401,Derived,Model,Distance between top of the door and the center of the door hinge hole,"401) Derived - Model
    Distance between top of the door and the center of the door hinge hole",1.720,=door_top_margin,,,
top_hinge_hole_2_y_value,402,Derived,Model,Distance between top of the door and the center of the door hinge hole,"402) Derived - Model
    Distance between top of the door and the center of the door hinge hole",3.220,=top_hinge_hole_1_y_value+hinge_hole_space,,,
mid_top_hinge_hole_1_y_value,403,Derived,Model,Distance between top of the door and the center of the door hinge hole,"403) Derived - Model
    Distance between top of the door and the center of the door hinge hole",30.147,=top_hinge_hole_1_y_value+inter_hinge_gap+mid_top_hinge_offset,,,
mid_top_hinge_hole_2_y_value,404,Derived,Model,Distance between top of the door and the center of the door hinge hole,"404) Derived - Model
    Distance between top of the door and the center of the door hinge hole",31.647,=mid_top_hinge_hole_1_y_value+hinge_hole_space,,,
mid_bottom_hinge_hole_1_y_value,405,Derived,Model,Distance between top of the door and the center of the door hinge hole,"405) Derived - Model
    Distance between top of the door and the center of the door hinge hole",61.043,=mid_top_hinge_hole_1_y_value+inter_hinge_gap+mid_bottom_hinge_offset,,,
mid_bottom_hinge_hole_2_y_value,406,Derived,Model,Distance between top of the door and the center of the door hinge hole,"406) Derived - Model
    Distance between top of the door and the center of the door hinge hole",62.543,=mid_bottom_hinge_hole_1_y_value+hinge_hole_space,,,
bottom_hinge_hole_1_y_value,407,Derived,Model,Distance between top of the door and the center of the door hinge hole,"407) Derived - Model
    Distance between top of the door and the center of the door hinge hole",89.470,=mid_bottom_hinge_hole_1_y_value+inter_hinge_gap+mid_top_hinge_offset,,,
bottom_hinge_hole_2_y_value,408,Derived,Model,Distance between top of the door and the center of the door hinge hole,"408) Derived - Model
    Distance between top of the door and the center of the door hinge hole",90.970,=bottom_hinge_hole_1_y_value+hinge_hole_space,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
