Name,Unit,Expression,Value,Comments,Favorite
mid_bottom_hinge_offset,in,( 2 * 0.823 * if(component_floor_clearance == 1 in and not(door_wall_post_hinging); 1; 0) ) * 1 in,1.646,"043) Derived - Helper
    An offset applying to the mid-bottom hinge when the floor clearance is 1"""" the door hinges on a stile",false
mid_bottom_hinge_hole_1_y_value,in,mid_top_hinge_hole_1_y_value + inter_hinge_gap + mid_bottom_hinge_offset,53.835,"405) Derived - Model
    Distance between top of the door and the center of the door hinge hole",false
mid_bottom_hinge_hole_2_y_value,in,mid_bottom_hinge_hole_1_y_value + hinge_hole_space,55.335,"406) Derived - Model
    Distance between top of the door and the center of the door hinge hole
",false
bottom_hinge_hole_1_y_value,in,mid_bottom_hinge_hole_1_y_value + inter_hinge_gap + mid_top_hinge_offset,78.658,"407) Derived - Model
    Distance between top of the door and the center of the door hinge hole",false
bottom_hinge_hole_2_y_value,in,bottom_hinge_hole_1_y_value + hinge_hole_space,80.158,"408) Derived - Model
    Distance between top of the door and the center of the door hinge hole",false
door_perp_stile_keeper,,1,1,"011) Input - Model
    Whether the door latches on a perpendiculat stile",true
left_rabbeting_model,in,if(right_exterior_rabbeting or left_interior_rabbeting; -rabbeting_depth; rabbeting_depth),0.50,"203) Derived - Model
    Controls rabbeting in model's left side as seen from the FRONT",false
right_rabbeting_model,in,if(left_exterior_rabbeting or right_interior_rabbeting; -rabbeting_depth; rabbeting_depth),-0.50,"206) Derived - Model
    Controls rabbeting in model's right side as seen from the FRONT ",false
left_interior_drilling,,if(not(door_hinging_right) and not(door_swinging_out); 1; 0),1,"101) Derived - Model
    Whether drilling is present the interior left edge of the door",false
left_exterior_drilling,,if(not(door_hinging_right) and door_swinging_out; 1; 0),0,"102) Derived - Model
    Whether drilling is present the exterior left edge of the door",false
right_interior_drilling,,if(door_hinging_right and not(door_swinging_out); 1; 0),0,"103) Derived - Model
    Whether drilling is present the interior right edge of the door",false
right_exterior_drilling,,if(door_hinging_right and door_swinging_out; 1; 0),0,"104) Derived - Model
    Whether drilling is present the exterior right edge of the door",false
left_interior_rabbeting,,if(door_swinging_out and ( not(door_hinging_right) or ( door_hinging_right and not(door_wall_keep_latching or door_perp_stile_keeper) ) ); 1; 0),0,"201) Derived - Model
    Whether routing is present the interior left edge of the door",false
left_exterior_rabbeting,,if(not(door_swinging_out) and ( not(door_hinging_right) or ( door_hinging_right and not(door_wall_keep_latching or door_perp_stile_keeper) ) ); 1; 0),1,"202) Derived - Model
    Whether routing is present the exterior left edge of the door",false
right_interior_rabbeting,,if(door_swinging_out and ( door_hinging_right or ( not(door_hinging_right) and not(door_wall_keep_latching or door_perp_stile_keeper) ) ); 1; 0),0,"204) Derived - Model
    Whether rabbeting is present the interior right edge of the stile",false
right_exterior_rabbeting,,if(not(door_swinging_out) and ( door_hinging_right or ( not(door_hinging_right) and not(door_wall_keep_latching or door_perp_stile_keeper) ) ); 1; 0),0,"205) Derived - Model
    Whether rabbeting is present the exterior right edge of the stile",false
component_ceiling_clearance,in,3.875 in,3.875,"005) Input - Model
    Ceiling clearance of the component",true
floor_to_ceiling,,0,0,"006) Input - Model
    Whether the door is a 3X86 Floor-to-Ceiling door",true
shoe_height,in,4 in,4.00,"035) Fixed - Model
    Height of the shoe",false
shoe_door_top_notch_gap,in,0.5 in,0.50,"036) Fixed - Model
    Height of the shoe",false
top_notching_y_dist,in,if(component_ceiling_clearance < ( shoe_height + shoe_door_top_notch_gap ); ( shoe_height + shoe_door_top_notch_gap ) - component_ceiling_clearance; 0 in),0.625,031) Derived - Helper,false
top_left_notching,,if(not(floor_to_ceiling and component_ceiling_clearance < ( shoe_height + shoe_door_top_notch_gap )); 0; if(( right_interior_drilling or left_exterior_drilling ) and door_wall_post_hinging; 0; if(( left_interior_drilling or right_exterior_drilling ) and ( door_wall_keep_latching or door_wall_post_latching ); 0; 1))),0,"303) Derived - Model
    Whether the bottom left corner of the door is notched to accommodate the shoe on a stile",false
top_right_notching,,if(not(floor_to_ceiling and component_ceiling_clearance < ( shoe_height + shoe_door_top_notch_gap )); 0; if(( left_interior_drilling or right_exterior_drilling ) and door_wall_post_hinging; 0; if(( right_interior_drilling or left_exterior_drilling ) and ( door_wall_keep_latching or door_wall_post_latching ); 0; 1))),0,"304) Derived - Model
    Whether the bottom right corner of the door is notched to accommodate the shoe on a stile",false
a_order_number,Text,"'N001'",N001,500) Order number,true
component_id,Text,"'3X8XDoor'",3X8XDoor,501) ID,true
a_series,Text,"'3X8X'",3X8X,502) series,true
Swing,Text,"if(door_swinging_out; 'Outswing'; 'Inswing')",Inswing,504) Swing,false
Hinge,Text,"if(door_hinging_right; 'right-hand hinging'; 'left-hand hinging')",left-hand hinging,505) Hinge,false
door_wall_post_latching,,0,0,"010) Input - Model
    Whether the door is keeping on a wall post",true
